序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2087,600378,昊华科技,37.91,-4.46,-1.77,100325.0,385625334.0,4.76,39.64,37.75,39.29,39.68,1.5,0.94,29.78,2.72,48903885594.0,40660952911.0,-0.16,-0.26,19.29,18.62
2088,601616,广电电气,5.56,-4.47,-0.26,1446562.0,832559793.0,8.42,5.99,5.5,5.66,5.82,1.23,16.95,-465.0,1.95,4746434774.0,4746434774.0,0.0,0.18,35.94,44.04
2089,600410,华胜天成,20.1,-4.47,-0.94,1116209.0,2284949267.0,5.99,21.18,19.92,21.05,21.04,1.17,10.18,46.13,4.65,22039543128.0,22039543128.0,-0.05,0.1,8.3,12.42
2090,688352,颀中科技,14.69,-4.49,-0.69,318246.0,468133200.0,3.77,15.04,14.46,14.8,15.38,1.23,8.7,70.99,2.9,17466957761.0,5374793697.0,-0.2,-0.14,0.69,16.49
2091,688027,国盾量子,581.25,-4.51,-27.47,22970.0,1349703054.0,4.79,606.9,577.75,606.0,608.72,1.42,2.86,-1694.06,18.61,59787956831.0,46717602563.0,-0.28,-0.21,-2.96,15.38
2092,600381,*ST春天,4.01,-4.52,-0.19,98735.0,39689261.0,5.71,4.23,3.99,4.23,4.2,2.06,1.68,-623.5,2.29,2354113571.0,2354113571.0,0.0,-0.25,-14.5,-9.48
2093,603013,亚普股份,25.75,-4.52,-1.22,52561.0,137376215.0,6.19,27.3,25.63,27.15,26.97,1.19,1.03,23.74,2.93,13199431048.0,13199431048.0,-0.04,-0.27,9.16,4.38
2094,603272,联翔股份,21.88,-4.54,-1.04,27356.0,60390035.0,6.72,23.04,21.5,23.04,22.92,1.83,2.64,775.01,4.06,2267358760.0,2267358760.0,-0.09,-0.05,0.37,8.8
2095,688472,阿特斯,17.23,-4.54,-0.82,970808.0,1709031828.0,6.32,18.35,17.21,18.19,18.05,1.81,7.2,47.61,2.67,62771304130.0,23220085157.0,-0.23,-0.29,6.03,15.56
2096,688489,三未信安,43.87,-4.55,-2.09,9676.0,43110906.0,6.01,46.44,43.68,45.86,45.96,2.36,0.85,-96.76,2.76,5054248486.0,4989970162.0,0.0,0.02,-10.03,-4.03
2097,603115,海星股份,23.19,-4.57,-1.11,80410.0,188470447.0,5.72,24.4,23.01,24.4,24.3,1.2,3.32,28.59,2.72,5609438376.0,5609438376.0,0.09,0.0,15.72,23.94
2098,603278,大业股份,12.7,-4.58,-0.61,211506.0,272073022.0,5.26,13.33,12.63,13.33,13.31,1.52,6.19,139.26,2.16,4340344278.0,4340344278.0,-0.08,-0.31,27.64,-25.47
2099,688596,正帆科技,34.05,-4.62,-1.65,100062.0,343026644.0,5.88,35.71,33.61,35.4,35.7,1.39,3.4,105.35,2.78,10015164398.0,10015164398.0,0.06,0.32,-11.17,7.65
2100,688411,海博思创,233.35,-4.62,-11.3,28123.0,663719203.0,3.38,240.5,232.22,240.5,244.65,1.17,7.41,50.62,9.38,42024583008.0,8851794826.0,0.32,0.3,-14.99,-6.67
2101,688686,奥普特,125.51,-4.63,-6.1,11171.0,141682133.0,6.79,133.33,124.4,131.63,131.61,1.98,0.91,63.0,5.03,15341771957.0,15341771957.0,-0.25,-0.28,-2.16,1.11
2102,688179,阿拉丁,16.02,-4.64,-0.78,118499.0,192371837.0,4.64,16.8,16.02,16.75,16.8,0.87,3.56,69.19,5.37,5328363756.0,5328363756.0,-0.56,-0.44,25.16,28.99
2103,688244,永信至诚,24.04,-4.64,-1.17,26210.0,64039011.0,5.71,25.37,23.93,25.22,25.21,1.58,1.74,-49.62,3.75,3629114917.0,3629114917.0,-0.04,-0.08,13.83,-1.64
2104,600107,ST尔雅,6.36,-4.65,-0.31,89529.0,57141564.0,3.6,6.58,6.34,6.58,6.67,3.42,2.49,-48.12,5.02,2289600000.0,2289600000.0,0.16,0.0,-23.0,-8.36
2105,603112,华翔股份,18.19,-4.66,-0.89,74597.0,137917910.0,4.51,19.03,18.17,19.03,19.08,1.56,1.48,18.16,2.27,9825702541.0,9189564662.0,-0.16,-0.16,4.48,4.72
2106,603088,宁波精达,11.6,-4.68,-0.57,129625.0,152455732.0,4.52,12.1,11.55,12.01,12.17,1.21,2.96,57.6,5.32,5827700406.0,5079313344.0,-0.09,-0.09,-1.36,12.29
2107,603009,北特科技,50.9,-4.68,-2.5,141937.0,742804281.0,8.8,55.2,50.5,54.0,53.4,1.53,4.19,139.45,10.04,17230981951.0,17225016573.0,-0.06,-0.2,4.39,5.69
