日期,收盘,涨跌幅,成交量,成交额,PER,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2024-01-16,652.8114013671875,2.3323637475571424,5500,3590462.7075195312,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-17,648.1617431640625,-0.7122513781755657,5100,3305624.8901367188,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-18,646.3018188476562,-0.2869537327715221,2100,1357233.819580078,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-19,641.6522216796875,-0.7194157640247556,8600,5518209.1064453125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-22,650.9515380859375,1.44927674089661,7000,4556660.7666015625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-23,654.6712036132812,0.5714197309190094,2300,1505743.7683105469,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-24,663.9705200195312,1.4204560021771062,2800,1859117.4560546875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-25,660.2508544921875,-0.5602154636676238,7800,5149956.665039063,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-26,652.8114013671875,-1.1267616049844942,13500,8812953.918457031,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-29,658.3909912109375,0.8547016538106744,2600,1711816.5771484375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-30,670.4800415039062,1.836150623922439,6900,4626312.286376953,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-01-31,674.1997680664062,0.5547855763396781,4500,3033898.956298828,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-01,671.4099731445312,-0.4137935155148597,2900,1947088.9221191409,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-02,676.9896240234375,0.831034852338286,4600,3114152.2705078125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-05,672.3399047851562,-0.6868228216922123,2000,1344679.8095703125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-06,659.3209228515625,-1.9363690658453336,6700,4417450.183105469,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-07,659.3209228515625,0.0,100,65932.09228515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-08,656.5310668945312,-0.4231408196428976,3900,2560471.160888672,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-09,659.3209228515625,0.424938909628092,2000,1318641.845703125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-13,651.8814697265625,-1.1283508329789305,2600,1694891.8212890625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-14,637.9324951171875,-2.1398022887851087,20000,12758649.90234375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-15,641.6522216796875,0.5830909368892856,5700,3657417.663574218,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-16,641.6522216796875,0.0,2600,1668295.7763671875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-19,649.0916748046875,1.1594213927172747,4200,2726185.0341796875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-20,647.2318115234375,-0.2865332207210413,15200,9837923.53515625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-21,655.6011352539062,1.2930952375114655,2900,1901243.292236328,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-22,654.6712036132812,-0.1418441168904993,5600,3666158.740234375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-26,649.0916748046875,-0.8522642782818335,4600,2985821.7041015625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-27,650.0216064453125,0.1432666103605262,11500,7475248.474121094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-28,656.5310668945312,1.0014221657671074,4700,3085696.014404297,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-02-29,651.8814697265625,-0.7082067250772872,1700,1108198.4985351562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-01,653.7412719726562,0.2852976089156023,1700,1111360.1623535156,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-04,660.2508544921875,0.995742933575028,3400,2244852.905273437,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-05,650.9515380859375,-1.4084520062306205,4700,3059472.2290039062,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-06,651.8814697265625,0.1428572768042535,4100,2672714.0258789062,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-07,687.2188110351562,5.420823101999872,171400,117789304.21142578,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-08,711.3970336914062,3.5182713668489907,103700,73771872.39379883,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-11,681.6392211914062,-4.18301048369405,34700,23652880.9753418,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-12,679.7793579101562,-0.2728515647910101,7300,4962389.312744141,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-13,725.345947265625,6.703144016545903,243600,176694272.75390625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-14,766.262939453125,5.641031337080871,180900,138616965.7470703,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-15,747.664306640625,-2.427186786010249,46500,34766390.25878906,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-18,729.99560546875,-2.363186394608474,16300,11898928.369140623,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-19,730.925537109375,0.1273886628437859,9400,6870700.048828125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-21,728.1358032226562,-0.3816714213805472,8600,6261967.907714844,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-22,736.5051879882812,1.149426347198279,8600,6333944.616699219,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-25,738.364990234375,0.2525171955914729,4600,3396478.955078125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-26,725.345947265625,-1.7632259303921538,5600,4061937.3046875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-27,709.5371704101562,-2.179480965608749,7400,5250575.061035156,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-28,698.3779907226562,-1.572740675594109,5600,3910916.748046875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-03-29,702.0977172851562,0.5326236811459273,3900,2738181.0974121094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-01,726.2759399414062,3.443711902346225,62600,45464873.84033203,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-02,771.8424682617188,6.273996674595694,51400,39672702.86865234,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-03,763.4730834960938,-1.084338464100565,13200,10077844.702148438,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-04,755.1036987304688,-1.0962252562067951,6200,4681642.932128906,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-05,739.294921875,-2.093590176031124,20400,15081616.40625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-08,729.065673828125,-1.383649169526502,4600,3353702.099609375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-09,725.345947265625,-0.5102045941854261,10900,7906270.825195312,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-10,723.486083984375,-0.2564105153218587,5200,3762127.63671875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-11,729.065673828125,0.7712090069545097,5300,3864048.071289064,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-12,723.486083984375,-0.765306891278128,3700,2676898.5107421875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-15,668.6202392578125,-7.583538362535725,105900,70806883.33740234,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-16,663.0405883789062,-0.8345022407786895,18300,12133642.767333984,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-17,659.3209228515625,-0.5610011804010551,17700,11669980.334472656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-18,664.9004516601562,0.8462538674584019,29900,19880523.504638672,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-19,666.7603149414062,0.2797205621692944,78200,52140656.62841797,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-22,675.1296997070312,1.2552313894627076,176300,119025366.0583496,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-23,674.1997680664062,-0.1377411838093589,34400,23192472.02148437,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-24,690.0086059570312,2.3448299212508683,27400,18906235.803222656,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-25,679.7793579101562,-1.48248122683734,8800,5982058.349609375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-26,678.8494262695312,-0.1367990407187269,6400,4344636.328125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-04-30,679.7793579101562,0.1369864368502504,6000,4078676.1474609375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-01,690.9385375976562,1.6415884886247012,9900,6840291.522216797,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-02,688.1487426757812,-0.4037688983994036,5200,3578373.4619140625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-07,688.1487426757812,0.0,5100,3509558.5876464844,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-08,689.0786743164062,0.1351352669786365,2600,1791604.5532226562,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-09,684.4290161132812,-0.6747644900979788,5000,3422145.0805664062,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-10,680.7092895507812,-0.5434787939914476,5600,3811972.021484375,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-13,679.7793579101562,-0.1366121565989919,5600,3806764.404296875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-14,687.2188110351562,1.0943923257497934,4000,2748875.244140625,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-15,686.2888793945312,-0.1353181294941885,15900,10911993.182373049,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-16,681.6392211914062,-0.6775074378630563,5400,3680851.7944335938,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-17,692.7984008789062,1.6371093887460608,7600,5265267.846679688,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-20,693.7283325195312,0.1342283179991854,13400,9295959.65576172,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-21,689.0786743164062,-0.6702419355193445,4700,3238669.7692871094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-22,682.5691528320312,-0.9446702861371724,7400,5051011.730957031,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-23,683.4990844726562,0.1362399160241389,7500,5126243.133544922,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-24,684.4290161132812,0.1360545554121017,4000,2737716.064453125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-27,686.2888793945312,0.2717393969957182,3600,2470639.9658203125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-28,678.8494262695312,-1.0840119005808946,12200,8281963.000488281,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-29,666.7603149414062,-1.780823679053256,34200,22803202.770996094,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-30,659.0853881835938,-1.151077319064342,29500,19443018.951416016,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-05-31,650.4511108398438,-1.310039260246021,29200,18993172.43652344,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-03,658.1260375976562,1.1799390653515651,7100,4672694.866943359,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-04,659.0853881835938,0.1457700396476413,5000,3295426.9409179688,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-05,653.3292236328125,-0.87335641996934,6500,4246639.953613281,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-06,654.28857421875,0.1468402990766337,900,588859.716796875,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-07,652.3698120117188,-0.2932593174689524,2900,1891872.4548339844,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-10,654.28857421875,0.2941218572199533,2800,1832008.0078125,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-11,657.1666259765625,0.4398749834885862,2900,1905783.2153320312,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-12,663.8822631835938,1.0219078300045537,7000,4647175.842285156,13.467976,4858451456.0,5.682,505.0,89.62,,,
2024-06-13,667.7196655273438,0.5780245318421473,2100,1402211.297607422,13.467976,4858451456.0,5.682,505.0,89.62,,,
