日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2019-01-24,380.1672668457031,2.065225183742569,618800,235247504.7241211,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-25,395.34967041015625,3.993611467505742,666000,263302880.4931641,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-28,376.7259216308594,-4.71070299868358,638000,240351138.00048828,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-29,368.4262390136719,-2.203108982057267,549200,202339690.4663086,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-30,354.4584045410156,-3.7912159866924977,672800,238479614.5751953,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-01-31,343.3246459960937,-3.141062082965373,568000,195008398.92578125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-01,319.4376525878906,-6.957552767264752,1013600,323782004.66308594,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-04,345.7538146972656,8.2382780790484,790800,273422116.66259766,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-05,343.1222229003906,-0.7611172125979726,608400,208755560.4125977,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-06,350.40972900390625,2.123880535021838,501600,175765520.06835938,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-07,340.0857238769531,-2.946266690796717,467600,159024084.48486328,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-08,328.9519348144531,-3.273818417184815,776400,255398282.1899414,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-12,328.74951171875,-0.061535766864329,1746400,574128147.265625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-13,315.996337890625,-3.8792981809918303,1009200,318903504.19921875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-14,301.6236267089844,-4.5483790342581205,742000,223804731.0180664,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-15,292.311767578125,-3.087244600982053,714800,208944451.4648437,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-18,293.5263366699219,0.4155046859248612,485200,142418978.5522461,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-19,299.8017578125,2.137941424191525,513200,153858262.109375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-20,309.1136474609375,3.1060156939644257,771200,238388444.921875,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-21,302.63580322265625,-2.095618971045221,554400,167781289.30664062,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-22,305.874755859375,1.070247671368807,943600,288623419.62890625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-25,306.2795715332031,0.1323468727227217,793200,242940956.14013672,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-26,296.7652893066406,-3.1064044457601248,611600,181501650.9399414,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-27,308.3039245605469,3.888135058134656,580000,178816276.2451172,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-02-28,295.1458435058594,-4.267892818245144,593600,175198572.70507812,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-01,305.2674255371094,3.429349338287069,862000,263140520.81298828,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-04,304.0528564453125,-0.3978705194830012,304400,92553689.50195312,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-05,304.862548828125,0.2662998770275093,229600,69996441.2109375,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-06,312.3525390625,2.4568417023232536,417600,130438420.3125,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-07,318.83038330078125,2.073888772514532,349200,111335569.8486328,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-08,300.6114807128906,-5.714293098190426,889200,267303728.6499024,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-11,292.9190979003906,-2.558911853352297,497600,145756543.11523438,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-12,290.8946838378906,-0.6911171299552543,272000,79123354.00390625,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
2019-03-13,289.88262939453125,-0.3479109449533224,181600,52642685.49804688,13.687894,3.6975284,15315135488.0,8.7139994,242.0,71.45,,,
