日期,收盘,涨跌幅,成交量,成交额,時価総額,営業利益率,配当利回り,EPS,开盘,最高,最低
2022-11-01,649.9243774414062,4.501611535299199,12500,8124054.718017578,17723883520.0,0.0,192.0,-7.63,,,
2022-11-02,630.9266357421875,-2.923069569110215,11300,7129470.983886719,17723883520.0,0.0,192.0,-7.63,,,
2022-11-04,611.9287719726562,-3.011105046656215,3700,2264136.456298828,17723883520.0,0.0,192.0,-7.63,,,
2022-11-07,607.9292602539062,-0.6535910553538637,3900,2370924.1149902344,17723883520.0,0.0,192.0,-7.63,,,
2022-11-08,679.9208984375,11.842107773119182,84800,57657292.1875,17723883520.0,0.0,192.0,-7.63,,,
2022-11-09,709.9174194335938,4.411766290023977,41000,29106614.196777344,17723883520.0,0.0,192.0,-7.63,,,
2022-11-10,696.9188842773438,-1.8309925634196755,8000,5575351.07421875,17723883520.0,0.0,192.0,-7.63,,,
2022-11-11,693.9192504882812,-0.4304136186771501,4900,3400204.327392578,17723883520.0,0.0,192.0,-7.63,,,
2022-11-14,678.9210205078125,-2.161379723925394,200,135784.2041015625,17723883520.0,0.0,192.0,-7.63,,,
2022-11-15,679.9208984375,0.1472745576414302,1100,747912.98828125,17723883520.0,0.0,192.0,-7.63,,,
2022-11-16,706.917724609375,3.9705833772598176,48800,34497584.9609375,17723883520.0,0.0,192.0,-7.63,,,
2022-11-17,720.9160766601562,1.98019536976759,17200,12399756.518554688,17723883520.0,0.0,192.0,-7.63,,,
2022-11-18,734.9144897460938,1.941753491028941,15900,11685140.38696289,17723883520.0,0.0,192.0,-7.63,,,
2022-11-21,707.9176025390625,-3.673473252154602,3100,2194544.5678710938,17723883520.0,0.0,192.0,-7.63,,,
2022-11-22,719.916259765625,1.694922853101466,7900,5687338.4521484375,17723883520.0,0.0,192.0,-7.63,,,
2022-11-24,699.9185791015625,-2.7777787197878934,7400,5179397.4853515625,17723883520.0,0.0,192.0,-7.63,,,
2022-11-25,702.9181518554688,0.4285602416436163,8700,6115387.921142578,17723883520.0,0.0,192.0,-7.63,,,
2022-11-28,712.9169921875,1.422475761315556,36700,26164053.61328125,17723883520.0,0.0,192.0,-7.63,,,
2022-11-29,722.9158325195312,1.402525180575509,47900,34627668.37768555,17723883520.0,0.0,192.0,-7.63,,,
2022-11-30,759.91162109375,5.117578964245362,34700,26368933.251953125,17723883520.0,0.0,192.0,-7.63,,,
2022-12-01,717.9164428710938,-5.526323990441428,43000,30870407.04345703,17723883520.0,0.0,192.0,-7.63,,,
2022-12-02,739.9139404296875,3.064074904124125,4000,2959655.76171875,17723883520.0,0.0,192.0,-7.63,,,
2022-12-05,748.912841796875,1.2162091934585728,26600,19921081.591796875,17723883520.0,0.0,192.0,-7.63,,,
2022-12-06,739.9139404296875,-1.2015952811807007,1400,1035879.5166015624,17723883520.0,0.0,192.0,-7.63,,,
2022-12-07,749.9127807617188,1.3513517972407296,6600,4949424.353027344,17723883520.0,0.0,192.0,-7.63,,,
2022-12-08,745.9132080078125,-0.5333383903450395,15300,11412472.082519531,17723883520.0,0.0,192.0,-7.63,,,
2022-12-09,739.9139404296875,-0.8042849374054972,4300,3181629.943847656,17723883520.0,0.0,192.0,-7.63,,,
