日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,EPS,开盘,最高,最低
2023-01-06,2101.0,4.319761668321753,9686800,20351966800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-10,2235.0,6.377915278438828,5724100,12793363500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-11,2569.0,14.944071588366882,23416900,60158016100.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-12,2533.0,-1.401323472168159,15626300,39581417900.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-13,2501.0,-1.2633241215949442,6845000,17119345000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-16,2481.0,-0.7996801279488208,7196800,17855260800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-17,2357.0,-4.997984683595325,4922900,11603275300.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-18,2483.0,5.3457785320322415,7491500,18601394500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-19,2388.0,-3.8260169150221457,3449400,8237167200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-20,2334.0,-2.261306532663321,2463600,5750042400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-23,2535.0,8.611825192802058,9848200,24965187000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-24,2521.0,-0.5522682445759375,8049900,20293797900.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-25,2464.0,-2.261007536691784,2945700,7258204800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-26,2430.0,-1.379870129870131,2187500,5315625000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-27,2486.0,2.304526748971192,4144700,10303724200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-30,2451.0,-1.4078841512469853,2248400,5510828400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-01-31,2483.0,1.3055895552835484,1987200,4934217600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-01,2508.0,1.006846556584784,5124700,12852747600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-02,2492.0,-0.6379585326953707,3560700,8873264400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-03,2526.0,1.3643659711075395,2793900,7057391400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-06,2497.0,-1.1480601741884366,1555100,3883084700.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-07,2461.0,-1.4417300760913077,1656400,4076400400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-08,2478.0,0.6907761072734608,1259700,3121536600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-09,2455.0,-0.9281678773204184,911900,2238714500.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-10,2420.0,-1.4256619144602856,1697600,4108192000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-13,2413.0,-0.2892561983471098,6592100,15906737300.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-14,2334.0,-3.2739328636552045,1690700,3946093800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-15,2328.0,-0.2570694087403624,1497200,3485481600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-16,2324.0,-0.1718213058419238,1188600,2762306400.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-17,2197.0,-5.464716006884684,1877000,4123769000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-20,2183.0,-0.6372325898953091,1104600,2411341800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-21,2097.0,-3.939532753092079,1443400,3026809800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-22,2091.0,-0.2861230329041508,1633700,3416066700.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-24,2030.0,-2.917264466762315,1288100,2614843000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-27,2050.0,0.985221674876846,1357800,2783490000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-02-28,2020.0,-1.4634146341463428,1551000,3133020000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-01,2030.0,0.4950495049504955,1082600,2197678000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-02,1985.0,-2.216748768472909,738000,1464930000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-03,2058.0,3.67758186397984,1715900,3531322200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-06,2010.0,-2.3323615160349864,1158500,2328585000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-07,2028.0,0.8955223880596996,870700,1765779600.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-08,1987.0,-2.021696252465488,707900,1406597300.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-09,2090.0,5.183694011071971,2626000,5488340000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-10,2015.0,-3.5885167464114853,1089200,2194738000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-13,1975.0,-1.985111662531014,851600,1681910000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-14,1860.0,-5.82278481012658,1441200,2680632000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-15,1812.0,-2.580645161290318,943500,1709622000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-16,1797.0,-0.8278145695364225,1122400,2016952800.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-17,1834.0,2.058987200890372,1253300,2298552200.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-20,1732.0,-5.561613958560518,918500,1590842000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-22,1705.0,-1.558891454965361,920400,1569282000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-23,1710.0,0.2932551319648091,813700,1391427000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-24,1739.0,1.6959064327485285,842100,1464411900.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-27,1705.0,-1.955146635997696,552200,941501000.0,19.126783,20366409728.0,-50.463,-13.95,,,
2023-03-28,1630.0,-4.398826979472137,837100,1364473000.0,19.126783,20366409728.0,-50.463,-13.95,,,
