日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,ROE,EPS,开盘,最高,最低
2022-08-05,807.5,9.528653780942696,44800,36176000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-08,808.75,0.1547987616099089,17200,13910500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-09,772.5,-4.482225656877903,8000,6180000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-10,742.75,-3.8511326860841466,10400,7724600.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-12,801.25,7.876135981151133,26800,21473500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-15,777.5,-2.9641185647425905,71600,55669000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-16,777.5,0.0,14000,10885000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-17,782.5,0.6430868167202508,12000,9390000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-18,957.5,22.36421725239617,231600,221757000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-19,952.5,-0.5221932114882533,869600,828294000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-22,895.0,-6.036745406824151,72800,65156000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-23,862.5,-3.631284916201116,36800,31740000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-24,851.25,-1.30434782608696,24400,20770500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-25,831.25,-2.3494860499265746,26400,21945000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-26,833.75,0.3007518796992459,12800,10672000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-29,837.5,0.4497751124437732,14800,12395000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-30,865.0,3.2835820895522394,16000,13840000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-08-31,895.0,3.4682080924855585,18000,16110000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-01,863.75,-3.4916201117318413,6000,5182500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-02,806.25,-6.657018813314042,14000,11287500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-05,810.0,0.4651162790697771,9600,7776000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-06,912.5,12.65432098765431,45600,41610000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-07,897.5,-1.6438356164383603,36000,32310000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-08,962.5,7.242339832869082,109200,105105000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-09,985.0,2.337662337662328,60400,59494000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-12,985.0,0.0,12400,12214000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-13,982.5,-0.25380710659898,13600,13362000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-14,942.5,-4.071246819338425,22800,21489000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-15,985.0,4.509283819628651,18800,18518000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-16,957.5,-2.791878172588836,46000,44045000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-20,952.5,-0.5221932114882533,8000,7620000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-21,912.5,-4.199475065616798,18400,16790000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-22,886.25,-2.876712328767128,10400,9217000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-26,843.75,-4.7954866008462655,10400,8775000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-27,850.0,0.7407407407407307,10400,8840000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-28,792.5,-6.764705882352939,21600,17118000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-29,967.5,22.0820189274448,74800,72369000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-09-30,946.25,-2.1963824289405687,113600,107494000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-03,943.75,-0.2642007926023759,30800,29067500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-04,962.5,1.986754966887428,29200,28105000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-05,930.0,-3.3766233766233777,31600,29388000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-06,937.5,0.8064516129032251,6400,6000000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-07,937.5,0.0,10000,9375000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-11,916.25,-2.2666666666666613,7600,6963500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-12,928.75,1.3642564802182733,3200,2972000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-13,891.25,-4.037685060565277,3600,3208500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-14,903.75,1.4025245441795289,2400,2169000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-17,900.0,-0.4149377593360981,400,360000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-18,897.5,-0.2777777777777768,8400,7539000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-19,888.75,-0.974930362116988,8000,7110000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-20,892.5,0.421940928270037,10400,9282000.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-21,883.75,-0.9803921568627416,2800,2474500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
2022-10-24,891.25,0.8486562942008558,400,356500.0,16.39698,2.4598136,18557376512.0,15.031,6.0399998,23.37,92.7,,,
