日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,ROE,配当利回り,EPS,开盘,最高,最低
2018-08-08,1557.7091064453125,-1.3182668519855945,3900,6075065.515136719,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-09,1565.6363525390625,0.5089041375536452,6800,10646327.197265623,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-10,1590.4090576171875,1.5822770746188874,11700,18607785.974121094,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-13,1577.52734375,-0.809962305325862,15300,24136168.359375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-14,1307.0091552734375,-17.148240856066778,149600,195528569.62890625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-15,1270.345458984375,-2.80515986755977,43100,54751889.28222656,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-16,1269.3546142578125,-0.0779980531716684,12400,15739997.216796877,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-17,1274.30908203125,0.3903139215619688,11200,14272261.71875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-20,1270.345458984375,-0.3110409478175424,9700,12322350.952148438,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-21,1236.654541015625,-2.6521067738287107,14600,18055156.298828125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-22,1240.6181640625,0.3205117448256578,14300,17740839.74609375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-23,1308.0,5.431311413082418,12700,16611600.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-24,1337.727294921875,2.2727289695622988,7800,10434272.900390623,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-27,1305.02734375,-2.444440753807353,10800,14094295.3125,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-28,1349.6181640625,3.416849503273101,6800,9177403.515625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-29,1386.2818603515625,2.716597721143632,9400,13031049.487304688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-30,1357.54541015625,-2.0729154017801954,10300,13982717.724609377,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-08-31,1327.8182373046875,-2.189773736418954,5500,7303000.305175781,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-03,1304.036376953125,-1.7910478771429483,5400,7041796.435546875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-04,1274.30908203125,-2.279636937071705,4300,5479529.052734375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-05,1268.3636474609375,-0.4665614217263081,1500,1902545.4711914065,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-06,1243.5909423828125,-1.9531232330504025,3800,4725645.581054688,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-07,1202.963623046875,-3.266935931367632,4300,5172743.5791015625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-10,1232.69091796875,2.471171559334562,1900,2342112.744140625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-11,1247.5545654296875,1.2057886729164968,3400,4241685.5224609375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-12,1226.7454833984375,-1.667989730299524,5000,6133727.416992188,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-13,1204.9454345703125,-1.77706371233034,10500,12651927.06298828,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-14,1169.272705078125,-2.960526549063902,12700,14849763.354492188,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-17,1169.272705078125,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-18,1156.390869140625,-1.1016964546896937,7400,8557292.431640625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-19,1116.7545166015625,-3.427591275302821,11600,12954352.392578123,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-20,1114.772705078125,-0.1774616976225385,7100,7914886.206054687,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-21,1107.83642578125,-0.6222146689884078,7500,8308773.193359375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-24,1107.83642578125,0.0,0,0.0,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-25,1113.7818603515625,0.536670796514005,7100,7907851.208496094,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-26,1079.0999755859375,-3.113884863834804,12100,13057109.704589844,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-27,1092.9727783203125,1.2855901258678415,5900,6448539.392089844,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-09-28,1101.890869140625,0.8159481184899953,5700,6280777.9541015625,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-10-01,1188.0999755859375,7.823742700812808,24900,29583689.392089844,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-10-02,1183.1455078125,-0.4170076487876484,14200,16800666.2109375,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-10-03,1160.3546142578125,-1.926296757600443,1700,1972602.8442382808,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-10-04,1156.390869140625,-0.3415977381813428,4600,5319397.998046875,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
2018-10-05,1134.5909423828125,-1.885169395536057,2500,2836477.3559570312,5.274334,7037913600.0,7.561999599999999,1.85,11.148,77.0,-63.6,,,
