日期,收盘,涨跌幅,成交量,成交额,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-05-23,767.372314453125,0.378307999428995,15200,11664059.1796875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-24,765.4442138671875,-0.251260118409613,8200,6276642.5537109375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-25,755.8038940429688,-1.2594412041491254,22700,17156748.39477539,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-28,756.7679443359375,0.1275529671872721,11300,8551477.770996094,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-29,753.8758544921875,-0.382163365321686,16200,12212788.842773438,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-30,749.0556640625,-0.6393878250596563,18300,13707718.65234375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-05-31,747.1276245117188,-0.2573960312007406,13600,10160935.693359377,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-01,755.8038940429688,1.1612834603619948,16300,12319603.47290039,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-04,758.6959838867188,0.3826508260336592,10000,7586959.8388671875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-05,759.6600341796875,0.1270667452370144,7800,5925348.2666015625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-06,763.5162353515625,0.5076219622424993,13300,10154765.93017578,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-07,763.5162353515625,0.0,15400,11758150.024414062,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-08,762.5521850585938,-0.1262645440047283,17200,13115897.583007812,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-11,763.5162353515625,0.1264241729101778,19900,15193973.083496094,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-12,766.4083251953125,0.3787856380576215,21100,16171215.661621094,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-13,767.372314453125,0.1257801130444269,8800,6752876.3671875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-14,755.8038940429688,-1.5075368490979013,33800,25546171.618652344,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-15,736.523193359375,-2.551018966104668,59900,44117739.28222656,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-18,726.8828735351562,-1.3088956208219371,60800,44194478.7109375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-19,727.8468627929688,0.1326196135457369,40200,29259443.884277344,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-20,735.5591430664062,1.0596020492336988,41600,30599260.3515625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-21,730.7389526367188,-0.6553097021665732,29600,21629872.998046875,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-22,730.7389526367188,0.0,126100,92146181.92749023,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-25,742.3074340820312,1.583120949495043,23000,17073070.98388672,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-26,752.9118041992188,1.4285684920158914,29100,21909733.502197266,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-27,756.7679443359375,0.5121635914342004,30000,22703038.330078125,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-28,750.019775390625,-0.8917091422568135,19900,14925393.530273438,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-06-29,751.9478149414062,0.2570651620188435,32800,24663888.330078125,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-02,757.7319946289062,0.769226211256524,47500,35992269.74487305,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-03,761.5880737304688,0.5088974899959187,35800,27264853.03955078,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-04,748.0916748046875,-1.7721389542869503,33800,25285498.60839844,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-05,753.8758544921875,0.7731912922316786,56900,42895536.12060547,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-06,752.9118041992188,-0.127879184248203,33700,25373127.801513672,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-09,750.9838256835938,-0.2560696358952063,19900,14944578.131103516,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-10,740.3793334960938,-1.4120799709430587,41400,30651704.40673828,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-11,733.631103515625,-0.9114557464216856,35600,26117267.28515625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-12,736.523193359375,0.39421581635386,17200,12668198.92578125,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-13,745.1995849609375,1.1780201465195317,29900,22281467.59033203,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-16,745.1995849609375,0.0,0,0.0,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-17,751.9478149414062,0.9055600830510936,32000,24062330.078125,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-18,757.7319946289062,0.769226211256524,30500,23110825.83618164,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-19,747.1276245117188,-1.3994882349373294,17300,12925307.904052734,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-20,760.6240844726562,1.8064463845461447,29700,22590535.30883789,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-23,759.6600341796875,-0.1267446446475806,22200,16864452.758789062,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-24,751.9478149414062,-1.015219820878066,17300,13008697.198486328,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-25,747.1276245117188,-0.641027254007398,38800,28988551.831054688,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-26,756.7679443359375,1.2903176790604045,32500,24594958.19091797,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-27,756.7679443359375,0.0,24100,18238107.458496094,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-30,753.8758544921875,-0.382163365321686,23900,18017632.92236328,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-07-31,767.372314453125,1.7902761947494297,45000,34531754.150390625,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-01,760.6240844726562,-0.8793945068604536,14600,11105111.63330078,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-02,764.480224609375,0.5069705542380065,40000,30579208.984375,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-03,754.8399047851562,-1.2610293260554406,39200,29589724.267578125,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-06,752.9118041992188,-0.2554317244908066,70100,52779117.474365234,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-07,757.7319946289062,0.640206515929731,70000,53041239.62402344,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-08,750.9838256835938,-0.8905746349825661,73800,55422606.33544922,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-09,752.9118041992188,0.2567270358812434,21600,16262894.970703123,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-10,752.9118041992188,0.0,21100,15886439.068603516,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-13,751.9478149414062,-0.1280348179476087,43100,32408950.82397461,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-14,760.6240844726562,1.1538393168847971,25400,19319851.74560547,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
2018-08-15,756.7679443359375,-0.5069705542380065,16600,12562347.875976562,-13.08088,12557715456.0,-3.5469998,-2.829,-40.75,,,
