日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROE,配当利回り,EPS,开盘,最高,最低
2018-05-28,1138.78271484375,-0.1362609144414439,1800,2049808.88671875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-29,1138.78271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-30,1138.78271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-05-31,1138.78271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-01,1138.78271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-04,1138.78271484375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-05,1129.4610595703125,-0.8185631158544981,600,677676.6357421875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-06,1129.4610595703125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-07,1132.5684814453125,0.2751243036375417,600,679541.0888671875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-08,1132.5684814453125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-11,1132.5684814453125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-12,1132.5684814453125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-13,1141.8897705078125,0.8230221143541661,600,685133.8623046875,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-14,1141.8897705078125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-15,1137.2291259765625,-0.4081518769694647,600,682337.4755859375,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-18,1140.3365478515625,0.2732450131658126,2100,2394706.750488281,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-19,1140.3365478515625,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-20,1143.443359375,0.2724468955494608,1200,1372132.03125,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-21,1143.443359375,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-22,1149.6578369140625,0.5434880082262561,3900,4483665.563964844,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-25,1155.872314453125,0.5405501828042558,900,1040285.0830078124,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-26,1155.872314453125,0.0,0,0.0,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-27,1140.3365478515625,-1.3440729055711365,6600,7526221.215820312,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-28,1151.21142578125,0.9536551248994218,9900,11396993.115234377,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-06-29,1180.7296142578125,2.564097942003185,19800,23378446.362304688,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
2018-07-02,1152.76513671875,-2.368406551455937,8100,9337397.607421877,30.832476,1.929154,2947339520.0,-10.493,1.6809999999999998,86.0,68.11,,,
