日期,收盘,涨跌幅,成交量,成交额,PER,PBR,時価総額,営業利益率,ROA,EPS,开盘,最高,最低
2018-07-12,2344.88134765625,-12.441573832661769,9600,22510860.9375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-13,2270.731201171875,-3.1622131566908185,8900,20209507.690429688,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-16,2270.731201171875,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-17,2312.139892578125,1.823584023722402,2700,6242777.7099609375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-18,2359.326416015625,2.0408161110392564,1700,4010854.9072265625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-19,2330.436767578125,-1.2244871350310271,1700,3961742.504882813,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-20,2308.287841796875,-0.950419513174261,900,2077459.0576171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-23,2255.323486328125,-2.29452993295326,600,1353194.091796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-24,2232.211669921875,-1.0247672471977889,500,1116105.8349609375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-25,2283.25,2.286446700635314,1700,3881525.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-26,2281.323974609375,-0.0843545555950897,100,228132.3974609375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-27,2231.24853515625,-2.1950165785505904,900,2008123.681640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-30,2260.138427734375,1.294785951583921,800,1808110.7421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-07-31,2281.323974609375,0.9373561643406524,500,1140661.9873046875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-01,2254.3603515625,-1.1819287110017784,1200,2705232.421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-02,2243.767578125,-0.4698793354025343,100,224376.7578125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-03,2243.767578125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-06,2166.728271484375,-3.433479803866435,1700,3683438.0615234375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-07,2137.838623046875,-1.3333304788471834,1200,2565406.34765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-08,2137.838623046875,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-09,2137.838623046875,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-10,2124.356689453125,-0.6306338302811354,1000,2124356.689453125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-13,2061.76220703125,-2.946514713496096,2100,4329700.634765625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-14,2061.76220703125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-15,2080.05908203125,0.8874386647306887,700,1456041.357421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-16,2032.87255859375,-2.268518420708543,1500,3049308.837890625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-17,2070.429443359375,1.8474785645985257,800,1656343.5546875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-20,2146.50537109375,3.674403297266582,1900,4078360.205078125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-21,2170.580078125,1.1215768362593304,1300,2821754.1015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-22,2170.580078125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-23,2170.580078125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-24,2198.507080078125,1.2866146812352983,100,219850.7080078125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-27,2188.876953125,-0.4380302906635491,2200,4815529.296875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-28,2188.876953125,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-29,2265.916259765625,3.519581424192797,1100,2492507.8857421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-30,2222.58154296875,-1.9124588832491685,400,889032.6171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-08-31,2234.137451171875,0.5199317991136265,100,223413.7451171875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-03,2214.8779296875,-0.8620562478943605,200,442975.5859375,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-04,2229.322509765625,0.6521614525349051,300,668796.7529296875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-05,2311.1767578125,3.67170957491838,700,1617823.73046875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-06,2307.324951171875,-0.1666599764645782,300,692197.4853515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-07,2288.06494140625,-0.8347333025564119,900,2059258.447265625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-10,2288.06494140625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-11,2288.06494140625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-12,2257.249267578125,-1.3468006641973007,200,451449.853515625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-13,2221.618896484375,-1.5784863287154338,500,1110809.4482421875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-14,2280.361083984375,2.644116306039579,2100,4788758.276367188,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-17,2280.361083984375,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-18,2306.36181640625,1.140202426908865,1300,2998270.361328125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-19,2304.435791015625,-0.0835092472015519,400,921774.31640625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-20,2304.435791015625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-21,2304.435791015625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-24,2304.435791015625,0.0,0,0.0,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-25,2271.6943359375,-1.4208013608265957,500,1135847.16796875,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-26,2247.619384765625,-1.059779513071668,200,449523.876953125,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
2018-09-27,2271.6943359375,1.0711311414670632,600,1363016.6015625,1.1834319,-4.1185217,1570457216.0,-22.222,-31.932,-169.5,,,
